,Location,Name,Phone 1,Address 1,City,State,ZIP Code,Software,Zone,OS Version
103,ABC273,560 W 43rd Street Parking Corp,212-695-5183,555 west 42nd street,New York,New York,10036,Ultra,Midtown West,
104,ABC274,59-61 West 36th Street Parking Corp,,59 west 36th street,New York,New York,10018,Ultra,Midtown West,
105,ABC276,1050 Fifth Avenue Parking Corp.,,1050 5th avenue,New York,New York,10028,Ultra,East of Central Park,
106,ABC277,254 West 79th Street Parking Corp,,254 west 79th street,New York,New York,10024,Ultra,Midtown West,
107,ABC278,159 West 53rd Parking Corp,212-245-1299,159-167 west 53rd street,New York,New York,10019,Ultra,Midtown West,
108,ABC280,390 Madison Parking Corp,,390 madison avenue,New York,New York,10017,Ultra,Midtown East,
109,ABC282,150 East 18th Street Parking Corp,,150 east 18th street,New York,New York,10003,Ultra,Midtown East,
110,ABC283,147-36 94th Avenue Parking Corp,,147-36 94th avenue,Jamaica,New York,11435,Ultra,Queens,
111,ABC284,200 East End Avenue Parking Corp,,200 east end avenue,New York,New York,10128,Ultra,Midtown East,
112,ABC286,142 West 57th Street Parking Corp,,146 west 57th street,New York,New York,10019,Ultra,Midtown West,
113,ABC288,Empire Outlets,,1 richmond terrace,Staten Island,New York,10301,Ultra,Staten Island,
114,ABC290,507 West 28th Street Parking Corp,,507 west 28th street,New York,New York,10001,Ultra,Midtown West,
115,ABC291,99 Park Avenue Parking Corp,,99 park avenue,New York,New York,10016,Ultra,Midtown East,
116,ABC999,88th Street Garage Corp.,212-736-7171,107 west 13th street,New York,New York,10011,,Not a garage,
117,AME001,Alarcon -Mordini,718-424-8148,77-11 roosevelt avenue,Jackson Heights,New York,11372,Plus,Queens,
118,AMP001,Ampco System,212-308-3770,17 east 54th street,New York,New York,10022,Ultra,Midtown East,
119,AMP002,Ampco System,212-754-2678,750 lexington avenue,New York,New York,10022,Ultra,Midtown East,
120,AMP003,ABM Parking Services - Park Avenue,212-213-1282,475 park avenue south,New York,New York,10016,Ultra,Midtown East,
121,AMP004,ABM Parking Services,212-223-8787,866 united nations plaza,New York,New York,10022,Ultra,Midtown East,
122,AMP005,ABM Parking Services,212-757-6500,1633 broadway,New York,New York,10018,Ultra,Midtown West,
123,AMP422,ABM Parking Systems Spruce St.,215-545-8899,1314 spruce street,Philadelphia,Pennsylvania,19107,Ultra,Philly and Vicinity,
124,BRD001,Interparking Garage LLC,718-792-6900,800 brady avenue,Bronx,New York,10462,B&W,Bronx,
125,BRD900,2010 Parking Inc.,718-892-9379,2010 westchester avenue,Bronx,New York,10462,Ticketech Mobile,Bronx,
126,BRD901,New Family Garage Corp.,718-588-8800,415 east 167th street,Bronx,New York,10452,Ticketech Mobile,Bronx,
127,BRD902,Bronxdale Garage LLC,718-597-8232,2000 white plains road,Bronx,New York,10462,Ticketech Mobile,Bronx,
128,CDC000,Main Office,202-496-4200,1225 eye street,Washington,DC,20005,,Not a garage,
129,CDC001,Washington Sq,202-833-2545,1050 connecticut avenue,Washington,DC,20036,Ultra,Washington DC and Vicinity,
130,CDC009,11 Dupont Circle,202-232-0126,11 dupont circle,Washington,DC,20036,Ultra,Washington DC and Vicinity,
131,CDC010,SP Plus Corporation - 91597,,1015 18th street nw,Washington,DC,20036,Ultra,Washington DC and Vicinity,
132,CDC100,SP Plus 1250 H St NW,,1250 h street nw,Washington,DC,20005,Ultra,Washington DC and Vicinity,
133,CDC146,1201 Eye St NW,202-289-6390,1201 i(eye) street nw,Washington,DC,20005,Ultra,Washington DC and Vicinity,
134,CDC166,SP Plus Corporation ***06652***,,1666 connecticut avenue nw,Washington,DC,20009,Ultra,Washington DC and Vicinity,Windows 10
135,CDC202,1225 Eye St,202-496-4253,1225 eye street nw,Washington,DC,20005,Ultra,Washington DC and Vicinity,
136,CDC393,1403 Wisconsin,202-338-5256,1403 wisconsin avenue,Washington,DC,20007,Ultra,Washington DC and Vicinity,
137,CDC396,SP+ #50396,301-686-4151,1133 19th street,Washington,DC,20036,Ultra,Washington DC and Vicinity,
138,CDC456,601 Pennsylvania,202-973-3917,601 pennsylvania nw,Washington,DC,20004,Ultra,Washington DC and Vicinity,
139,CDC460,625 Indiana Ave,202-393-0752,625 indiana avenue nw,Washington,DC,20004,Ultra,Washington DC and Vicinity,
140,CDC461,1145 19th Street,202-457-0838,1145 19th street,Washington,DC,20036,Ultra,Washington DC and Vicinity,Windows 10
141,CDC462,2141 K Street,202-822-2076,2141 k street nw,Washington,DC,20037,Ultra,Washington DC and Vicinity,Windows 10
142,CDC463,SP Plus Corporation,,1201 24th st nw,Washington,DC,20037,Ultra,Washington DC and Vicinity,
143,CDC472,2121 K Street,202-466-3930,2121 k street nw,Washington,DC,20006,Ultra,Washington DC and Vicinity,
144,CDC473,SP Plus Corporation - 06755,,1101 vermont avenue,Washington,DC,20005,Ultra,Washington DC and Vicinity,
145,CDC477,Union Center Plaza,877-717-0004,810 1st street ne,Washington,DC,20002,Ultra,Washington DC and Vicinity,
146,CDC486,1211 Connecticut,202-466-5567,1211 connecticut avenue nw,Washington,DC,20036,Ultra,Washington DC and Vicinity,
147,CDC487,1750 H Street,202-293-3773,1750 h street nw,Washington,DC,20006,Ultra,Washington DC and Vicinity,
148,CHK014,Ambro Operating Corp.,718-520-8669,70-20 108th street,Forest Hills,New York,11375,Plus,Queens,
149,CHK021,CARMEL GARAGE,718-520-8797,68-61 yellowstone blvd.,Forest Hills,New York,11375,B&W,Queens,
150,CHK035,Martin Garage LLC,,301 east 48th st,New York,New York,10017,Plus,Midtown East,
151,CNT000,Main Office,,360 west 31st street,New York,New York,10001,,Not a garage,
152,CNT001,New York Palace,212-421-3746,29 east 50th street,New York,New York,10022,Ultra,Midtown East,Windows 10
153,CNT003,Empire,212-725-3927,222-226 lexington avenue,New York,New York,10016,Ultra,Midtown East,Windows 10
154,CNT004,Allied Parking System,212-245-9652,23-25 west 55th street,New York,New York,10019,Ultra,Midtown West,Windows 7
155,CNT005,Kinney Central Parking,212-956-6243,910-924 9th avenue,New York,New York,10019,Ultra,Midtown West,Windows 10
156,CNT013,Hilton Hotel,212-977-1054,101-139 west 53rd street,New York,New York,10019,Ultra,Midtown West,Windows 7
157,CNT017,Vanger,212-759-8689,154 east 53rd street,New York,New York,10022,Ultra,Midtown East,Windows 7
158,CNT022,La Guardia,718-997-8350,102-01 66th road,Forest Hills,New York,11375,Ultra,Queens,Windows 10
159,CNT029,SFG,212-249-8960,204 east 80th street,New York,New York,10021,Ultra,East of Central Park,Windows 7
160,CNT035,375 Park Avenue,212-644-7429,375 park avenue,New York,New York,10022,Ultra,Midtown East,Windows 7
161,CNT061,Millenium Hotel,212-693-2001,55 church street,New York,New York,10007,Ultra,Lower Manhattan,Windows 7
162,CNT065,75 Park Place,212-732-6637,75 park place,New York,New York,10007,Ultra,Lower Manhattan,Windows 10
163,CNT071,109 East 58th Street,212-688-5040,109 east 58th street,New York,New York,10022,Ultra,Midtown East,Windows 7
164,CNT072,1250 Broadway,212-695-4568,1250 broadway,New York,New York,10001,Ultra,Midtown West,Windows 7
165,CNT097,NYU Village,212-253-9061,2 washington square village,New York,New York,10012,Ultra,Lower Manhattan,Windows 10
166,CNT119,NYPH - Allen,212-567-2347,5141 broadway,New York,New York,10032,Ultra,Uptown Manhattan,Windows 10
167,CNT131,115 East 87th Street,212-289-5040,115 east 87th street,New York,New York,10128,Ultra,East of Central Park,Windows 7
168,CNT134,NYPH - 160th St,212-305-8244,630 west 160th street,New York,New York,10032,Ultra,Uptown Manhattan,Windows 7
169,CNT135,NYPH - 166th St,212-305-7302,503 west 166th street,New York,New York,10032,Ultra,Uptown Manhattan,Windows 7
170,CNT147,Astor Place,212-722-0066,245 east 93rd street,New York,New York,10128,Ultra,East of Central Park,Windows 7
171,CNT156,Central Parking System,212-779-8311,350 east 30th street,New York,New York,10016,Ultra,Midtown East,Windows 10
172,CNT172,Drucker Lot,212-889-1020,7-11 west 28th street,New York,New York,10001,Ultra,Midtown West,Windows 7
173,CNT206,Central Parking NY,212-744-7641,45 east end avenue,New York,New York,10028,Ultra,East of Central Park,Windows 7
174,CNT208,140 West 51st Street,212-541-7418,132-146 west 51st street,New York,New York,10019,Ultra,Midtown West,Windows 10
175,CNT209,Galleria,212-317-1965,115 east 57th street,New York,New York,10022,Ultra,Midtown East,Windows 7
176,CNT213,SP Plus Corporation - Rock Center,,25-43 west 48th street,New York,New York,10020,Ultra,Midtown West,
177,CNT230,Union Square West,212-741-5163,21 east 15th street,New York,New York,10003,Ultra,Lower Manhattan,Windows 7
178,CNT272,SP Plus Corporation,,27-28 thomson avenue,Long Island City,New York,11101,Ultra,Queens,Windows 10
179,CNT306,MACYS,973-639-1919,131 market street,Newark,New Jersey,07102,Ultra,New Jersey,Windows 7
180,CNT459,Grand Hyatt New York,,109 east 42nd street,New York,New York,10017,Ultra,Midtown East,Windows 7
181,CNT460,Grand Central Garage,212-697-1814,335 madison avenue,New York,New York,10017,Ultra,Midtown East,Windows 7
182,CNT485,Rivercourt Garage,212-572-9965,425-429 east 52nd street,New York,New York,10022,Ultra,Midtown East,Windows 7
183,CNT488,Park Lane Garage,212-722-5529,185 east 85th street,New York,New York,10028,Ultra,East of Central Park,Windows 7
184,CNT501,Concorde,212-758-8413,222 east 65th street,New York,New York,10065,Ultra,East of Central Park,Windows 7
185,CNT514,21st Street Garage,212-633-6488,120 west 21st street,New York,New York,10011,Ultra,Lower Manhattan,Windows 7
186,CNT520,Parker Meridian,212-245-5000,109 west 56th street,New York,New York,10019,Ultra,Midtown West,Windows 7
187,CNT524,450 East 63rd Street,212-838-5717,450 east 63rd street,New York,New York,10021,Ultra,East of Central Park,Windows 7
188,CNT526,147 West 83rd Street,212-362-3900,147 west 83rd street,New York,New York,10024,Ultra,West of Central Park,Windows 7
189,CNT527,157 West 83rd Street,212-787-3066,157-161 west 83rd street,New York,New York,10024,Ultra,West of Central Park,Windows 7
190,CNT539,Stop-Park Garage Corp.,212-242-8451,18-20 morton street,New York,New York,10014,Ultra,Lower Manhattan,Windows 7
191,CNT540,Moore Street,212-941-7633,56 north moore street,New York,New York,10013,Ultra,Lower Manhattan,Windows 7
192,CNT545,Kinney 555 W 57 St,212-445-0172,838-852 11th avenue,New York,New York,10019,Ultra,Midtown West,Windows 7
193,CNT550,111 Worth Street,212-619-0415,101-117 worth street,New York,New York,10013,Ultra,Lower Manhattan,Windows 10
194,CNT551,Kinney on 66th Street,212-744-5511,301 east 66th street,New York,New York,10021,Ultra,East of Central Park,Windows 7
195,CNT555,711 Westend Avenue,212-866-5651,711 west end avenue,New York,New York,10025,Ultra,West of Central Park,Windows 7
196,CNT564,20 West 13th Street,212-352-8628,12-28 west 13th street,New York,New York,10011,Ultra,Lower Manhattan,Windows 7
197,CNT565,38 West Parking Corp.,212-719-5944,38 west 46th street,New York,New York,10036,Ultra,Midtown West,Windows 10
198,CNT569,Lane Towers,718-793-6813,107-36 queens blvd.,Forest Hills,New York,11375,Ultra,Queens,Windows 7
199,CNT570,205 West 89th Street,,205 west 89th street,New York,New York,10024,Ultra,Midtown West,Windows 10
200,CNT582,330 East 61st Street,212-758-1048,330 east 61st street,New York,New York,10065,Ultra,East of Central Park,Windows 7
201,CNT585,The Biltmore,212-977-1876,267 west 47th street,New York,New York,10019,Ultra,Midtown West,Windows 7
202,CNT588,Central Parking,212-246-4645,101 west 56th street,New York,New York,10019,Ultra,Midtown West,Windows 10
203,CNT593,Aston Garage,212-779-2272,800 6th avenue,New York,New York,10001,Ultra,Midtown West,Windows 7
204,CNT605,Promenade,212-517-4229,530 east 76th street,New York,New York,10021,Ultra,East of Central Park,Windows 10
205,CNT607,Kinney Charlton Corp,212-691-3109,14-18 charlton street,New York,New York,10013,Ultra,Lower Manhattan,Windows 7
206,CNT609,Friedland Garage,212-580-7413,214 west 80th street,New York,New York,10024,Ultra,West of Central Park,Windows 7
207,CNT611,340 East 80th,212-650-9569,340 east 80th street,New York,New York,10075,Ultra,East of Central Park,Windows 7
208,CNT618,Tower 31,212-868-1682,9 west 31st street,New York,New York,10001,Ultra,Midtown West,Windows 7
209,CNT621,Audubon Lot,212-543-3629,3960 broadway,New York,New York,10032,Ultra,Uptown Manhattan,Windows 7
210,CNT626,Johnson Ave,718-432-5834,2500 johnson avenue,Bronx,New York,10463,Ultra,Bronx,Windows 7
211,CNT642,Park Slope Brooklyn,718-499-0805,406 15th street,Brooklyn,New York,11215-5606,Ultra,Brooklyn,Windows 10
212,CNT647,Hub Brooklyn,,333 schermerhorn street,Brooklyn,New York,11207,Ultra,Brooklyn,Windows 10
213,CNT656,Central Parking,212-664-8564,40 west 57th street,New York,New York,10019,Ultra,Midtown West,Windows 10
214,CNT663,Central Parking,212-255-3953,587 6th avenue,New York,New York,10011,Ultra,Lower Manhattan,Windows 7
215,CNT669,Cadillac Garage,718-261-1673,126-05 queens blvd.,Kew Gardens,New York,11415,Ultra,Queens,Windows 7
216,CNT674,Central Parking,212-439-1951,910 5th avenue,New York,New York,10021,Ultra,East of Central Park,Windows 7
217,CNT684,1360 Fulton Street,718-778-6419,1360 fulton street,Brooklyn,New York,11216,Ultra,Brooklyn,Windows 10
218,CNT690,Central Parking,646-642-4539,132-35 sanford avenue,Flushing,New York,11355,Ultra,Queens,Windows 10
219,CNT705,Central Parking,212-268-7521,371 7th avenue,New York,New York,10001,Ultra,Midtown West,Windows 7
220,CNT707,Central Parking,212-864-4840,70 west 95th street,New York,New York,10025,Ultra,West of Central Park,Windows 7
221,CNT713,Central Parking,646-370-4174,885 6th avenue,New York,New York,10001,Ultra,Midtown West,Windows 7
222,CNT734,Sagamore,212-724-2818,601 amsterdam avenue,New York,New York,10024,Ultra,West of Central Park,Windows 7
223,CNT738,Central Parking,800-836-6666,215 east 80th street,New York,New York,10075,Ultra,East of Central Park,Windows 7
224,CNT740,SP+,212-922-0801,214 east 42nd street,New York,New York,10017,Ultra,Midtown East,Windows 7
225,CNT744,SP Plus Corporation,212-337-9549,133 west 22nd street,New York,New York,10011,Ultra,Lower Manhattan,Windows 7
226,CNT747,SP Plus Corporation,212-969-1803,555 west 59th street,New York,New York,10019,Ultra,Midtown West,Windows 7
227,CNT748,SP Plus Corporation,212-355-6502,240 east 47th street,New York,New York,10017,Ultra,Midtown East,Windows 7
228,CNT749,SP Plus Corporation,212-423-5975,354 east 91st street,New York,New York,10128,Ultra,East of Central Park,Windows 7
229,CNT751,SP Plus Corporation,212-304-0315,4055 10th avenue,New York,New York,10034,Ultra,Uptown Manhattan,Windows 7
230,CNT752,SP Plus Corporation,212-599-0184,200 park avenue,New York,New York,10166,Ultra,Midtown East,Windows 7
231,CNT753,SP Plus Corporation,212-523-1051,1090 amsterdam avenue,New York,New York,10025,Ultra,West of Central Park,Windows 7
232,CNT754,SP Plus Corporation,212-868-5893,436-438 9th avenue,New York,New York,10001,Ultra,Midtown West,Windows 7
233,CNT755,Mount Sinai Queens,,23-11 30th road,Astoria,New York,11101,Ultra,Queens,Windows 7
234,CNT757,SP Plus Corporation,,22-22 jackson avenue,Long Island City,New York,11101,Ultra,Queens,Windows 10
235,CNT762,200 Chambers Garage,212-587-6942,200 chambers street,New York,New York,10007,Ultra,Lower Manhattan,Windows 7
236,CNT764,SP Plus Corporation,212-535-2043,216-222 east 67th street,New York,New York,10065,Ultra,Midtown East,Windows 7
237,CNT765,SP Plus Corporation,212-957-3692,515 west 59th street,New York,New York,10019,Ultra,Midtown West,Windows 7
238,CNT766,SP Plus Corporation,212-421-0722,400 east 54th street,New York,New York,10022,Ultra,Midtown East,Windows 7
239,CNT768,SP Plus Corporation,,200 east 61st street,New York,New York,10065,Ultra,East of Central Park,Windows 7
240,CNT769,Central Parking Systems,718-729-3036,30-20 thomson avenue,Long Island City,New York,11101,Ultra,Queens,Windows 7
241,CNT770,SP Plus Corporation,,410 st. nicholas avenue,New York,New York,10027,Ultra,Uptown Manhattan,Windows 7
242,CNT771,SP Plus Corporation,,470 dean street,Brooklyn,New York,11217,Ultra,Brooklyn,Windows 7
