DCA License Number	License Type	License Expiration Date	Business Name	Business Name 2	Address Building	Address Street Name	Secondary Address Street Name	Address City	Address State	Address ZIP	Contact Phone Number	Address Borough	Borough Code
2074959-DCA	Business	3/31/21	LAZ PARKING NEW YORK / NEW JERSEY LLC	"LAZ PARKING NY, NJ LLC"	325	AVENUE C		NEW YORK	NY	10009	2122652239	Manhattan	1
2035633-DCA	Business	3/31/21	LAZ PARKING NEW YORK / NEW JERSEY LLC	LAZ PARKING NY/NJ LLC	300	SCHERMERHORN ST		BROOKLYN	NY	11217	2122652239	Brooklyn	3
1228876-DCA	Business	3/31/13	LAZ PARKING NEW YORK / NEW JERSEY LLC		8020	COOPER AVE		GLENDALE	NY	11385	2122652239	Queens	4
2074988-DCA	Business	3/31/21	LAZ PARKING NEW YORK / NEW JERSEY LLC	"LAZ PARKING NY,NJ  LLC"	420	E 20TH ST		NEW YORK	NY	10009	2122652239	Manhattan	1
2028691-DCA	Business	3/31/21	LAZ PARKING NEW YORK / NEW JERSEY LLC	LAZ PARKING NY/NJ	501	E 87TH ST		NEW YORK	NY	10128	2122652239	Manhattan	1
2028693-DCA	Business	3/31/21	LAZ PARKING NEW YORK / NEW JERSEY LLC	LAZ PARKING NY/NJ	265	E 66TH ST		NEW YORK	NY	10065	2122652239	Manhattan	1
2021796-DCA	Business	5/13/20	QUIK PARK GEM GARAGE LLC		44	W 47TH ST		NEW YORK	NY	10036	212-832-2066	Manhattan	1
2034552-DCA	Business	3/31/21	LAZ PARKING NEW YORK / NEW JERSEY LLC		200	CABRINI BLVD		NEW YORK	NY	10033	2122652239	Manhattan	1
2029467-DCA	Business	3/6/18	LAZ PARKING NEW YORK / NEW JERSEY LLC	LAZ PARKNG NY/NJ LLC	8914	PARSONS BLVD		JAMAICA	NY	11432	2122652239	Queens	4
2051625-DCA	Business	3/31/21	LAZ PARKING NEW YORK / NEW JERSEY LLC		347-353	E 17TH ST		NEW YORK	NY	10003	2122652239	Manhattan	1
2009544-DCA	Business	9/28/15	LAZ PARKING NEW YORK / NEW JERSEY LLC	"LAZ PARKING NY/NJ, LLC"	388	BRIDGE ST		BROOKLYN	NY	11201	2122652239	Brooklyn	3
2013343-DCA	Business	3/31/17	LAZ PARKING NEW YORK / NEW JERSEY LLC		312	BERGEN ST		BROOKLYN	NY	11217	2122652239	Brooklyn	3
2094766-DCA	Business	3/31/21	LAZ PARKING NEW YORK/NEW JERSEY LLC		1659	CENTRE ST		RIDGEWOOD	NY	11385	2122652239	Queens	4
2094762-DCA	Business	3/31/21	LAZ PARKING NEW YORK/NEW JERSEY LLC		10	PECK SLIP		NEW YORK	NY	10038	2122652239	Manhattan	1
2094758-DCA	Business	3/31/21	LAZ PARKING NEW YORK/NEW JERSEY LLC		288	PEARL ST		NEW YORK	NY	10038	2122652239	Manhattan	1
2070176-DCA	Business	3/31/19	LAZ PARKING NEW YORK/NEW JERSEY LLC		1283	YORK AVE		NEW YORK	NY	10065	2122652239	Manhattan	1
2016679-DCA	Business	3/31/21	QUIK PARK EAST 79 GARAGE LLC		435	E 79TH ST		NEW YORK	NY	10075	212-832-2066	Manhattan	1
2072499-DCA	Business	5/18/20	38 SIXTH AVENUE PARKING CORP		38	6TH AVE		BROOKLYN	NY	11217	212-736-7171	Brooklyn	3
2068058-DCA	Business	5/24/20	THE CAR PARK OF NEW YORK LLC		9015	QUEENS BLVD		ELMHURST	NY	11373	208-336-6597	Queens	4
1464646-DCA	Business	3/31/21	DISCOVER 97 PARKING LLC		750	COLUMBUS AVE		NEW YORK	NY	10025	2126869800	Manhattan	1
2068315-DCA	Business	5/13/20	LM WOLVERINE PARKING LLC.		282	S 5TH ST		BROOKLYN	NY	11211	2127143571	Brooklyn	3
2083826-DCA	Business	3/31/21	POO PARKING CORP.		1752	MORRIS AVE		BRONX	NY	10457	2124903460	Bronx	2
2090217-DCA	Business	3/31/21	MP COLUMBUS PARKING LLC		10	COLUMBUS CIR		NEW YORK	NY	10019	2124903460	Manhattan	1
1356563-DCA	Business	5/18/20	100 RIVERSIDE PARKING LLC		120	RIVERSIDE BLVD		NEW YORK	NY	10069	2126869800	Manhattan	1
2090187-DCA	Business	3/31/21	VANCITY PARKING INC		70	E 162ND ST		BRONX	NY	10452	9173277488	Bronx	2
2087602-DCA	Business	5/24/20	II IN LOT PARKING CORP		2028	CRESTON AVE		BRONX	NY	10453	646-689-9769	Bronx	2
2093047-DCA	Business	5/14/20	A & J PARKING LLC	3470 FORT INDEPENDENCE STREET PARKING	3469	CANNON PL		BRONX	NY	10463	914-314-3157	Bronx	2
2083823-DCA	Business	3/31/21	GEM PARKING CORP.		260	E 188TH ST		BRONX	NY	10458		Bronx	2
2090192-DCA	Business	3/31/21	EASTSIDE 27 COMMERCIAL LLC		200	E 27TH ST		NEW YORK	NY	10016	2123649704	Manhattan	1
2094768-DCA	Business	3/31/21	LAZ PARKING NEW YORK / NEW JERSEY LLC		228	WATER ST		NEW YORK	NY	10038	2122652239	Manhattan	1
2002155-DCA	Business	5/14/20	LAIGHT STREET PARKING  LLC		416	WASHINGTON ST		NEW YORK	NY	10013	212-686-9800	Manhattan	1
1026542-DCA	Business	3/31/19	GEM PARKING CORP.		260	E 188TH ST		BRONX	NY	10458		Bronx	2
2084552-DCA	Business	2/23/20	"LAZ PARKING NEW YORK, NEW JERSEY LLC"		555	WAVERLY AVE		BROOKLYN	NY	11238	7104042575	Brooklyn	3
2090148-DCA	Business	2/27/20	150 charles Street Garage LLC		150	CHARLES ST		NEW YORK	NY	10014	6465840409	Manhattan	1
2018820-DCA	Business	3/31/21	"D&J UNION PLAZA PARKING, LLC"		3819	UNION ST		FLUSHING	NY	11354	3474539548	Queens	4
2054449-DCA	Business	3/31/21	"PROPARK AMERICA NEW YORK, LLC"		11045	QUEENS BLVD		FOREST HILLS	NY	11375	3475060477	Queens	4
2087319-DCA	Business	3/31/21	147-36 94TH AVENUE PARKING CORP.		14736	94TH AVE		JAMAICA	NY	11435	2127367171	Queens	4
1280518-DCA	Business	3/31/21	QUIK PARK WEST 62ND ST. LLC		140	W 65TH ST		NEW YORK	NY	10023	2128322066	Manhattan	1
0965331-DCA	Business	7/6/18	SP PLUS CORPORATION		20990	23RD AVE		BAYSIDE	NY	11360	212217621	Queens	4
2067143-DCA	Business	3/31/21	WELCOME PARKING LLC		131	E 55TH ST		NEW YORK	NY	10022	646-476-2959	Manhattan	1
2034103-DCA	Business	3/31/21	TYOS LLC		1131	OGDEN AVE		BRONX	NY	10452	2126652160	Bronx	2
2001881-DCA	Business	6/4/20	"LAUREATE GARAGE, LLC"		2148	BROADWAY		NEW YORK	NY	10023	2127502056	Manhattan	1
2092125-DCA	Business	3/31/21	KK ENTERPRISE GROUP INC.		4745	PARK AVE		BRONX	NY	10458	9173277488	Bronx	2
2040751-DCA	Business	9/18/19	786 PARKING CORP		250	E 144TH ST		BRONX	NY	10451	7186180029	Bronx	2
0818314-DCA	Business	3/31/19	CUSTOM PARKING LLC		184	E 64TH ST		NEW YORK	NY	10065	2126869800	Manhattan	1
2092453-DCA	Business	3/31/21	5 STARS PARKING INC		120	UNION AVE		BROOKLYN	NY	11206	9172140583	Brooklyn	3
2077313-DCA	Business	3/31/21	157-53 PARKING CORP		157	E 57TH ST		NEW YORK	NY	10022	6464639403	Manhattan	1
2046730-DCA	Business	3/31/21	LAZ PARKING NEW YORK / NEW JERSEY LLC	LAZ PARKING NY/NJ LLC	199	WATER ST		NEW YORK	NY	10038	2122652239	Manhattan	1
1078653-DCA	Business	3/31/21	1725 PARKING LLC		1725	YORK AVE		NEW YORK	NY	10128	2126869800	Manhattan	1
2070275-DCA	Business	3/31/21	149 KENT AVENUE PARKING CORP		149	KENT AVE		BROOKLYN	NY	11249	212-736-7171	Brooklyn	3
2081236-DCA	Business	6/27/19	LAZ PARKING NEW YORK/NEW JERSEY LLC	"LAZ PARKING NY, LLC"	180	RIVERSIDE BLVD		NEW YORK	NY	10069	2122652239	Manhattan	1
2073944-DCA	Business	3/8/20	RIVERSIDE CENTER PARKING LLC		1	W END AVE		NEW YORK	NY	10023	2126869800	Manhattan	1
2039875-DCA	Business	3/31/21	A & D 24 Hour Parking Inc		2160	WEBSTER AVE		BRONX	NY	10457		Bronx	2
2020432-DCA	Business	3/31/21	PARK ARMORYMANAGEMENT LLC		171	CLERMONT AVE		BROOKLYN	NY	11205	7182229427	Brooklyn	3
2090586-DCA	Business	3/31/21	A & J PARKING LLC		1035	ANDERSON AVE		BRONX	NY	10452	914-314-3157	Bronx	2
2050330-DCA	Business	6/3/20	PARK KWIK LLC		286	ASHLAND PL		BROOKLYN	NY	11217	2129745840	Brooklyn	3
2028476-DCA	Business	5/28/20	QUIK PARK 801 GARAGE LLC		801	AMSTERDAM AVE		NEW YORK	NY	10025	212-222-3289	Manhattan	1
1418529-DCA	Business	3/9/20	QUIK PARK WATER STREET LLC		95	WALL ST		NEW YORK	NY	10005	2128322066	Manhattan	1
2072375-DCA	Business	3/31/21	LAZ PARKING NEW YORK/NEW JERSEY LLC		528	E 20TH ST		NEW YORK	NY	10009	2122652239	Manhattan	1
1385887-DCA	Business	3/3/20	PV PARKING CORP		3411	STEINWAY ST		LONG IS CITY	NY	11101	718-609-1200	Queens	4
2078630-DCA	Business	3/31/21	"IMPERIAL PARKING (U.S.), LLC"	IMPARK	330	E 75TH ST		NEW YORK	NY	10021	212-937-8660	Manhattan	1
2081211-DCA	Business	10/9/19	LAZ PARKING NEW YORK/NEW JERSEY LLC	LAZ PARKING NY LLC	140	RIVERSIDE BLVD		NEW YORK	NY	10069	2122652239	Manhattan	1
2053069-DCA	Business	3/31/21	"PROPARK AMERICA NEW YORK, LLC"		920	PARK AVE		NEW YORK	NY	10028	3475060477	Manhattan	1
1408023-DCA	Business	12/31/19	QUIK PARK 775 GARAGE LLC		775	COLUMBUS AVE		NEW YORK	NY	10025	2128322066	Manhattan	1
2088815-DCA	Business	3/5/20	SP PLUS CORPORATION		333	SCHERMERHORN ST		BROOKLYN	NY	11217	2123217621	Brooklyn	3
2072506-DCA	Business	3/31/21	LAZ PARKING NEW YORK/NEW JERSEY LLC	"LAZ PARKING NY, NJ LLC"	426	E 71ST ST		NEW YORK	NY	10021	2122652239	Manhattan	1
2057853-DCA	Business	4/8/20	255 SCHERMERHORN STREET PARKING CORP.		33	BOND ST		BROOKLYN	NY	11201	2127367171	Brooklyn	3
2075368-DCA	Business	4/7/20	ENTERPRISE 57 PARKING LLC		606	W 57TH ST		NEW YORK	NY	10019	2125643199	Manhattan	1
0368822-DCA	Business	3/31/21	OMNI PARKING LLC		143	W 68TH ST		NEW YORK	NY	10023	2126869800	Manhattan	1
1450684-DCA	Business	9/29/19	LAZ PARKING NEW YORK / NEW JERSEY LLC		247	W 46TH ST		NEW YORK	NY	10036	2122652239	Manhattan	1
2093300-DCA	Business	3/31/21	MP LINCOLN SQUARE PARKING LLC		143	W 68TH ST		NEW YORK	NY	10023	2124903460	Manhattan	1
2095107-DCA	Business	3/31/21	VERRAZANO SERVICE INC.		9111	4TH AVE		BROOKLYN	NY	11209	718-491-6161	Brooklyn	3
2070019-DCA	Business	3/1/20	59-61 WEST 36TH STREET PARKING CORP		59	W 36TH ST		NEW YORK	NY	10018	212-736-7171	Manhattan	1
2064187-DCA	Business	5/14/20	254 WEST 79TH STREET PARKING CORP		252	W 79TH ST		NEW YORK	NY	10024	212-736-7171	Manhattan	1
2074961-DCA	Business	3/31/21	LAZ PARKING NEW YORK/NEW JERSEY LLC	"LAZ PARKING NY,NJ LLC"	251	AVENUE C		NEW YORK	NY	10009	2122652239	Manhattan	1
2065561-DCA	Business	5/18/20	PARKING SYSTEMS PLUS INC		260	BAYCHESTER AVE		BRONX	NY	10475	8009441424	Bronx	2
2093256-DCA	Business	3/31/21	LAZ PARKING NEW YORK/NEW JERSEY LLC		300	PEARL ST		NEW YORK	NY	10038	2122652239	Manhattan	1
2088972-DCA	Business	5/27/20	MORRIS AVENUE PARKING LLC		655	MORRIS AVE		BRONX	NY	10451	6465027200	Bronx	2
1425382-DCA	Business	3/30/20	34 NORTH 7TH PARKING CORP.		34	N 7TH ST		BROOKLYN	NY	11249	2127367171	Brooklyn	3
2072503-DCA	Business	3/31/21	LAZ PARKING NEW YORK/NEW JERSEY LLC	"LAZ PARKING NY, NJ LLC"	525	E 68TH ST		NEW YORK	NY	10065	2122652239	Manhattan	1
2095094-DCA	Business	3/31/21	CHARLES GARAGE MGMT LLC		140	CHARLES ST		NEW YORK	NY	10014	7187187276	Manhattan	1
2040594-DCA	Business	3/31/21	CHAMPION PARKING NORTH LLC		2917	QUEENS PLZ N		LONG ISLAND CITY	NY	11101	212-308-5959	Queens	4
2085069-DCA	Business	3/31/21	LAZ PARKING NEW YORK / NEW JERSEY LLC	"LAZ Parking NY,NJ LLC"	751	CONCOURSE VLG W		BRONX	NY	10451	2122652239	Bronx	2
1313397-DCA	Business	5/31/20	PARK KWIK LLC		20	JAY ST		BROOKLYN	NY	11201	2129745840	Brooklyn	3
2059451-DCA	Business	6/8/20	PARK KWIK LLC		325	KENT AVE		BROOKLYN	NY	11249	2129745840	Brooklyn	3
1181507-DCA	Business	3/31/21	99 PARK AVENUE CORP.		99	PARK AVE		NEW YORK	NY	10016	2128661000	Manhattan	1
2023734-DCA	Business	3/31/21	JORIAN PARK LLC		8213	37TH AVE		JACKSON HEIGHTS	NY	11372	7187794774	Queens	4
2009327-DCA	Business	5/14/20	LAZ PARKING NEW YORK / NEW JERSEY LLC		3916	PRINCE ST		FLUSHING	NY	11354	2122652239	Queens	4
2089813-DCA	Business	10/9/19	XTELL PARKING LLC		17802	HILLSIDE AVE		JAMAICA	NY	11432	917-592-4762	Queens	4
2067122-DCA	Business	4/1/20	"BATTERY 17 PARKING, LLC"		17	BATTERY PL		NEW YORK	NY	10004	646-773-4400	Manhattan	1
1451674-DCA	Business	12/8/13	"PROPARK AMERICA NEW YORK, LLC"		11215	NORTHERN BLVD		CORONA	NY	11368	3475060477	Queens	4
2024293-DCA	Business	5/27/17	"PROPARK AMERICA NEW YORK, LLC"		9015	QUEENS BLVD		ELMHURST	NY	11373	3475060477	Queens	4
2067080-DCA	Business	1/8/20	LAZ PARKING NEW YORK / NEW JERSEY LLC		130	FURMAN ST		BROOKLYN	NY	11201	2122652239	Brooklyn	3
2072367-DCA	Business	3/31/21	LAZ PARKING NEW YORK/NEW JERSEY LLC		279	AVENUE C		NEW YORK	NY	10009	2122652239	Manhattan	1
2029297-DCA	Business	4/30/20	SYLVAN ASTORIA GARAGE LLC		2325	31ST ST		ASTORIA	NY	11105	7185759440	Queens	4
1338636-DCA	Business	3/10/20	HARL PARKING CORP.		1481	5TH AVE		NEW YORK	NY	10035	2129299404	Manhattan	1
2045510-DCA	Business	3/31/21	NORTH 12 PARKING LLC		55	WYTHE AVE		BROOKLYN	NY	11249	9143209630	Brooklyn	3
2083642-DCA	Business	4/12/20	390 MADISON PARKING CORP.		390	MADISON AVE		NEW YORK	NY	10017	2127367171	Manhattan	1
2055878-DCA	Business	3/31/21	"YORK PARKING, LLC"		1418	YORK AVE		NEW YORK	NY	10021	646-773-4400	Manhattan	1
2051269-DCA	Business	5/28/20	LAZ PARKING NEW YORK / NEW JERSEY LLC		1113	YORK AVE		NEW YORK	NY	10065	2122652239	Manhattan	1
2044503-DCA	Business	3/11/20	IMPARK QB LLC		9277	QUEENS BLVD		REGO PARK	NY	11374	212-937-8660	Queens	4
1360570-DCA	Business	4/12/20	PARK 115TH LLC		2131	FREDERICK DOUGLASS BLVD		NEW YORK	NY	10026	2129799815	Manhattan	1
2038910-DCA	Business	1/13/20	FULTON LAWRENCE PARKING LLC		111	LAWRENCE ST		BROOKLYN	NY	11201	2126869800	Brooklyn	3
2030868-DCA	Business	4/8/20	455 CPW PARKING CORP		455	CENTRAL PARK W		NEW YORK	NY	10025	2127367171	Manhattan	1
2013693-DCA	Business	4/13/20	QUIK PARK TRUFFLES LLC		312	W 34TH ST		NEW YORK	NY	10001	2128322066	Manhattan	1
1300931-DCA	Business	4/14/20	LAZ PARKING NEW YORK / NEW JERSEY LLC		1	FORDHAM PLZ		BRONX	NY	10458	2122652239	Bronx	2
2090971-DCA	Business	3/31/21	III IN LOT PARKING INC		4388	BROADWAY		NEW YORK	NY	10040	646-964-4640	Manhattan	1
2021442-DCA	Business	3/31/21	G & K PARKING GARAGE INC.		1208	FRANKLIN AVE		BRONX	NY	10456	718-235-4975	Bronx	2
2091122-DCA	Business	3/31/21	1578 WILLIAMSBRIDGE ROAD LLC		1578	WILLIAMSBRIDGE RD		BRONX	NY	10461	7188639709	Bronx	2
2091664-DCA	Business	3/31/21	TRUST UNDER WILL OF IRVING SERVANSKY	210 India Parking	210	INDIA ST		BROOKLYN	NY	11222	6175476500	Brooklyn	3
2091594-DCA	Business	3/31/21	PARK 24 LLC		200	E 24TH ST		NEW YORK	NY	10010	2126757777	Manhattan	1
2082689-DCA	Business	10/17/19	"ABM INDUSTRY GROUPS, LLC"	ABM PARKING SERVICES	450	E 29TH ST		NEW YORK	NY	10016	2127576500	Manhattan	1
2091371-DCA	Business	3/31/21	LAZ Parking New York New Jersey LLC	"LAZ PARKING NY,NJ LLC"	40	W 116TH ST		NEW YORK	NY	10026	2122652239	Manhattan	1
2091164-DCA	Business	3/31/21	99 PARK AVENUE PARKING CORP		99	PARK AVE		NEW YORK	NY	10016	2127367171	Manhattan	1
2094080-DCA	Business	3/18/20	COOK STREET PARKING CORP.		31	DEBEVOISE ST		BROOKLYN	NY	11206	516-378-1222	Brooklyn	3
2065563-DCA	Business	3/19/20	PARKING SYSTEMS PLUS INC		280	BAYCHESTER AVE		BRONX	NY	10475	8009441424	Bronx	2
1306478-DCA	Business	3/18/20	100 RIVERSIDE PARKING LLC		100	RIVERSIDE BLVD		NEW YORK	NY	10069	2126869800	Manhattan	1
1218108-DCA	Business	11/25/19	240 RIVERSIDE PARKING LLC		240	RIVERSIDE BLVD		NEW YORK	NY	10069	2126869800	Manhattan	1
2092477-DCA	Business	3/31/21	221 EAST 36TH STREET GARAGE LLC		221	E 36TH ST		NEW YORK	NY	10016	6465840409	Manhattan	1
2034507-DCA	Business	11/26/19	QUIK PARK 150 CHARLES STREET GARAGE LLC		150	CHARLES ST		NEW YORK	NY	10014	212-832-2066	Manhattan	1
1318584-DCA	Business	3/15/20	"325 FIFTH CAR PARK, LLC"		325	5TH AVE		NEW YORK	NY	10016	2129966363	Manhattan	1
2092475-DCA	Business	3/31/21	214 WEST 88TH STREET GARAGE LLC		214	W 88TH ST		NEW YORK	NY	10024	6465840409	Manhattan	1
2029261-DCA	Business	3/31/21	QB 71ST AVENUE PARKING LLC	ALL COUNTS PARKING	10820	71ST AVE		FOREST HILLS	NY	11375	7187865555	Queens	4
2092450-DCA	Business	3/31/21	VANCITY PARKING INC		355	E 72ND ST		NEW YORK	NY	10021	9173277488	Manhattan	1
2004674-DCA	Business	3/18/20	QUIK PARK CRESCENT LLC		4308	CRESCENT ST		LONG ISLAND CITY	NY	11101	2128322066	Queens	4
2022970-DCA	Business	3/16/20	ROCKWELL CAR PARK LLC		29	FLATBUSH AVE		BROOKLYN	NY	11217	212-996-6363	Brooklyn	3
1242325-DCA	Business	3/15/20	"OCHRE CAR PARK, LLC"		625	ATLANTIC AVE		BROOKLYN	NY	11217	2129966363	Brooklyn	3
2068797-DCA	Business	3/19/20	MODA CAR PARK LLC		8914	PARSONS BLVD		JAMAICA	NY	11432	212-996-6363	Queens	4
2051385-DCA	Business	3/18/20	43-25 HUNTER STREET PARKING CORP.		4325	HUNTER ST		LONG ISLAND CITY	NY	11101	2127367171	Queens	4
2093765-DCA	Business	3/31/21	SUPPORT PARKING LLC		350	E 52ND ST		NEW YORK	NY	10022	2126869800	Manhattan	1
2067409-DCA	Business	4/13/20	535 CARLTON AVENUE PARKING CORP		535	CARLTON AVE		BROOKLYN	NY	11238	212-736-7171	Brooklyn	3
2093859-DCA	Business	3/31/21	WOC 24TH STREET GARAGE COMPANY LLC		150	E 24TH ST		NEW YORK	NY	10010	5165655600	Manhattan	1
2082941-DCA	Business	4/12/20	507 WEST 28TH STREET PARKING CORP.		507	W 28TH ST		NEW YORK	NY	10001	2127367171	Manhattan	1
2047628-DCA	Business	3/19/20	7 WEST 21 PARKING LLC		7	W 21ST ST		NEW YORK	NY	10010	212-888-7400	Manhattan	1
2046303-DCA	Business	4/1/20	BROOKLYN METRO PARKING LLC		100	WILLOUGHBY ST		BROOKLYN	NY	11201	2126869800	Brooklyn	3
1227121-DCA	Business	4/14/20	CHAMPION PARKING 39 LLC		102	W 39TH ST		NEW YORK	NY	10018	2128529033	Manhattan	1
2079557-DCA	Business	1/23/20	PARK PLACE GARAGE LLC		99	CHURCH ST		NEW YORK	NY	10007	6465840409	Manhattan	1
2080791-DCA	Business	1/19/20	ACB GARAGE LLC		626	1ST AVE		NEW YORK	NY	10016	6465840409	Manhattan	1
2030482-DCA	Business	4/16/20	QUIK PARK ELY GARAGE LLC		81	FLEET PL		BROOKLYN	NY	11201	2128322066	Brooklyn	3
2038424-DCA	Business	5/3/20	CHAMPION PARKING 113 LLC		400	W 113TH ST		NEW YORK	NY	10025	212-308-5959	Manhattan	1
2077653-DCA	Business	3/26/20	LAZ PARKING NEW YORK/NEW JERSEY LLC	"LAZ PARKING NY, NJ LLC"	120	NASSAU ST		BROOKLYN	NY	11201	2122652239	Brooklyn	3
2068346-DCA	Business	3/22/20	LM 29 PARK LLC		221	W 29TH ST		NEW YORK	NY	10001	2129672848	Manhattan	1
2023311-DCA	Business	4/23/20	PARK KWIK LLC		60	WATER ST		BROOKLYN	NY	11201	2129745840	Brooklyn	3
1351985-DCA	Business	4/26/20	CHAMPION PARKING 76 ST LLC.		205	W 76TH ST		NEW YORK	NY	10023	2123085959	Manhattan	1
2067082-DCA	Business	3/26/20	LAZ PARKING NEW YORK / NEW JERSEY LLC		90	FURMAN ST		BROOKLYN	NY	11201	2122652239	Brooklyn	3
2054291-DCA	Business	6/11/20	CHAMPION PARKING 92 LLC		114	W 92ND ST		NEW YORK	NY	10025	2123085959	Manhattan	1
2034908-DCA	Business	3/26/20	QUIK PARK 365 MANAGEMENT LLC		365	BOND ST		BROOKLYN	NY	11231	2128322066	Brooklyn	3
2083308-DCA	Business	3/31/21	PEAK TIME PARKING INC.		225	E 63RD ST		NEW YORK	NY	10065	9174705093	Manhattan	1
2016643-DCA	Business	4/28/20	MP 1775 LLC		1775	GRAND CONCOURSE		BRONX	NY	10453	2124903460	Bronx	2
