,Unnamed: 0,DCA License Number,License Type,License Expiration Date,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,Address,zipcode,label
27,,1290457-DCA,Business,3/31/15,LAZ PARKING NEW YORK / NEW JERSEY LLC,,3804,NOSTRAND AVE,,BROOKLYN,NY,11235.0,2122652239,Brooklyn,3.0,3804 nostrand avenue,11235.0,False
28,,2038951-DCA,Business,3/31/21,LAZ PARKING NEW YORK / NEW JERSEY LLC,LAZ PARKING NY/NJ LLC,13620,38TH AVE,,FLUSHING,NY,11354.0,2122652239,Queens,4.0,13620 38th avenue,11354.0,False
29,,1382731-DCA,Business,3/31/21,LAZ PARKING NEW YORK / NEW JERSEY LLC,,56-80,GREENWICH ST,,NEW YORK,NY,10006.0,2122652239,Manhattan,1.0,56-80 greenwich street,10006.0,False
30,,2084834-DCA,Business,6/27/19,LAZ PARKING NEW YORK / NEW JERSEY LLC,,160,RIVERSIDE BLVD,,NEW YORK,NY,10069.0,2122652239,Manhattan,1.0,160 riverside boulevardd,10069.0,False
31,,2074962-DCA,Business,3/31/21,LAZ PARKING NEW YORK / NEW JERSEY LLC,"LAZ PARKING NY,NJ LLC",527,E 14TH ST,,NEW YORK,NY,10009.0,2122652239,Manhattan,1.0,527 east 14th street,10009.0,True
32,,2074959-DCA,Business,3/31/21,LAZ PARKING NEW YORK / NEW JERSEY LLC,"LAZ PARKING NY, NJ LLC",325,AVENUE C,,NEW YORK,NY,10009.0,2122652239,Manhattan,1.0,325 avenuenue c,10009.0,False
33,,2035633-DCA,Business,3/31/21,LAZ PARKING NEW YORK / NEW JERSEY LLC,LAZ PARKING NY/NJ LLC,300,SCHERMERHORN ST,,BROOKLYN,NY,11217.0,2122652239,Brooklyn,3.0,300 schermerhorn street,11217.0,False
34,,1228876-DCA,Business,3/31/13,LAZ PARKING NEW YORK / NEW JERSEY LLC,,8020,COOPER AVE,,GLENDALE,NY,11385.0,2122652239,Queens,4.0,8020 cooper avenue,11385.0,False
35,,2074988-DCA,Business,3/31/21,LAZ PARKING NEW YORK / NEW JERSEY LLC,"LAZ PARKING NY,NJ  LLC",420,E 20TH ST,,NEW YORK,NY,10009.0,2122652239,Manhattan,1.0,420 east 20th street,10009.0,True
36,,2028691-DCA,Business,3/31/21,LAZ PARKING NEW YORK / NEW JERSEY LLC,LAZ PARKING NY/NJ,501,E 87TH ST,,NEW YORK,NY,10128.0,2122652239,Manhattan,1.0,501 east 87th street,10128.0,True
37,,2028693-DCA,Business,3/31/21,LAZ PARKING NEW YORK / NEW JERSEY LLC,LAZ PARKING NY/NJ,265,E 66TH ST,,NEW YORK,NY,10065.0,2122652239,Manhattan,1.0,265 east 66th street,10065.0,False
38,,2021796-DCA,Business,5/13/20,QUIK PARK GEM GARAGE LLC,,44,W 47TH ST,,NEW YORK,NY,10036.0,212-832-2066,Manhattan,1.0,44 west 47th street,10036.0,True
39,,2034552-DCA,Business,3/31/21,LAZ PARKING NEW YORK / NEW JERSEY LLC,,200,CABRINI BLVD,,NEW YORK,NY,10033.0,2122652239,Manhattan,1.0,200 cabrini boulevardd,10033.0,False
40,,2029467-DCA,Business,3/6/18,LAZ PARKING NEW YORK / NEW JERSEY LLC,LAZ PARKNG NY/NJ LLC,8914,PARSONS BLVD,,JAMAICA,NY,11432.0,2122652239,Queens,4.0,8914 parsons boulevardd,11432.0,False
41,,2051625-DCA,Business,3/31/21,LAZ PARKING NEW YORK / NEW JERSEY LLC,,347-353,E 17TH ST,,NEW YORK,NY,10003.0,2122652239,Manhattan,1.0,347-353 east 17th street,10003.0,False
42,,2009544-DCA,Business,9/28/15,LAZ PARKING NEW YORK / NEW JERSEY LLC,"LAZ PARKING NY/NJ, LLC",388,BRIDGE ST,,BROOKLYN,NY,11201.0,2122652239,Brooklyn,3.0,388 bridge street,11201.0,True
43,,2013343-DCA,Business,3/31/17,LAZ PARKING NEW YORK / NEW JERSEY LLC,,312,BERGEN ST,,BROOKLYN,NY,11217.0,2122652239,Brooklyn,3.0,312 bergen street,11217.0,True
44,,2094766-DCA,Business,3/31/21,LAZ PARKING NEW YORK/NEW JERSEY LLC,,1659,CENTRE ST,,RIDGEWOOD,NY,11385.0,2122652239,Queens,4.0,1659 centre street,11385.0,False
45,,2094762-DCA,Business,3/31/21,LAZ PARKING NEW YORK/NEW JERSEY LLC,,10,PECK SLIP,,NEW YORK,NY,10038.0,2122652239,Manhattan,1.0,10 peck slip,10038.0,False
46,,2094758-DCA,Business,3/31/21,LAZ PARKING NEW YORK/NEW JERSEY LLC,,288,PEARL ST,,NEW YORK,NY,10038.0,2122652239,Manhattan,1.0,288 pearl street,10038.0,False
47,,2070176-DCA,Business,3/31/19,LAZ PARKING NEW YORK/NEW JERSEY LLC,,1283,YORK AVE,,NEW YORK,NY,10065.0,2122652239,Manhattan,1.0,1283 york avenue,10065.0,False
48,,2016679-DCA,Business,3/31/21,QUIK PARK EAST 79 GARAGE LLC,,435,E 79TH ST,,NEW YORK,NY,10075.0,212-832-2066,Manhattan,1.0,435 east 79th street,10075.0,True
49,,2072499-DCA,Business,5/18/20,38 SIXTH AVENUE PARKING CORP,,38,6TH AVE,,BROOKLYN,NY,11217.0,212-736-7171,Brooklyn,3.0,38 6th avenue,11217.0,False
50,,2068058-DCA,Business,5/24/20,THE CAR PARK OF NEW YORK LLC,,9015,QUEENS BLVD,,ELMHURST,NY,11373.0,208-336-6597,Queens,4.0,9015 queens boulevardd,11373.0,False
51,,1464646-DCA,Business,3/31/21,DISCOVER 97 PARKING LLC,,750,COLUMBUS AVE,,NEW YORK,NY,10025.0,2126869800,Manhattan,1.0,750 columbus avenue,10025.0,True
52,,2068315-DCA,Business,5/13/20,LM WOLVERINE PARKING LLC.,,282,S 5TH ST,,BROOKLYN,NY,11211.0,2127143571,Brooklyn,3.0,282 south 5th street,11211.0,False
53,,2083826-DCA,Business,3/31/21,POO PARKING CORP.,,1752,MORRIS AVE,,BRONX,NY,10457.0,2124903460,Bronx,2.0,1752 morris avenue,10457.0,True
54,,2090217-DCA,Business,3/31/21,MP COLUMBUS PARKING LLC,,10,COLUMBUS CIR,,NEW YORK,NY,10019.0,2124903460,Manhattan,1.0,10 columbus circle,10019.0,False
55,,1356563-DCA,Business,5/18/20,100 RIVERSIDE PARKING LLC,,120,RIVERSIDE BLVD,,NEW YORK,NY,10069.0,2126869800,Manhattan,1.0,120 riverside boulevardd,10069.0,False
56,,2090187-DCA,Business,3/31/21,VANCITY PARKING INC,,70,E 162ND ST,,BRONX,NY,10452.0,9173277488,Bronx,2.0,70 east 162nd street,10452.0,False
57,,2087602-DCA,Business,5/24/20,II IN LOT PARKING CORP,,2028,CRESTON AVE,,BRONX,NY,10453.0,646-689-9769,Bronx,2.0,2028 creston avenue,10453.0,False
58,,2093047-DCA,Business,5/14/20,A & J PARKING LLC,3470 FORT INDEPENDENCE STREET PARKING,3469,CANNON PL,,BRONX,NY,10463.0,914-314-3157,Bronx,2.0,3469 cannon place,10463.0,False
59,,2083823-DCA,Business,3/31/21,GEM PARKING CORP.,,260,E 188TH ST,,BRONX,NY,10458.0,,Bronx,2.0,260 east 188th street,10458.0,True
60,,2090192-DCA,Business,3/31/21,EASTSIDE 27 COMMERCIAL LLC,,200,E 27TH ST,,NEW YORK,NY,10016.0,2123649704,Manhattan,1.0,200 east 27th street,10016.0,True
61,,2094768-DCA,Business,3/31/21,LAZ PARKING NEW YORK / NEW JERSEY LLC,,228,WATER ST,,NEW YORK,NY,10038.0,2122652239,Manhattan,1.0,228 water street,10038.0,False
62,,2002155-DCA,Business,5/14/20,LAIGHT STREET PARKING  LLC,,416,WASHINGTON ST,,NEW YORK,NY,10013.0,212-686-9800,Manhattan,1.0,416 washington street,10013.0,False
63,,1026542-DCA,Business,3/31/19,GEM PARKING CORP.,,260,E 188TH ST,,BRONX,NY,10458.0,,Bronx,2.0,260 east 188th street,10458.0,True
64,,2084552-DCA,Business,2/23/20,"LAZ PARKING NEW YORK, NEW JERSEY LLC",,555,WAVERLY AVE,,BROOKLYN,NY,11238.0,7104042575,Brooklyn,3.0,555 waverly avenue,11238.0,False
65,,2090148-DCA,Business,2/27/20,150 charles Street Garage LLC,,150,CHARLES ST,,NEW YORK,NY,10014.0,6465840409,Manhattan,1.0,150 charles street,10014.0,False
66,,2018820-DCA,Business,3/31/21,"D&J UNION PLAZA PARKING, LLC",,3819,UNION ST,,FLUSHING,NY,11354.0,3474539548,Queens,4.0,3819 union street,11354.0,False
67,,2054449-DCA,Business,3/31/21,"PROPARK AMERICA NEW YORK, LLC",,11045,QUEENS BLVD,,FOREST HILLS,NY,11375.0,3475060477,Queens,4.0,11045 queens boulevardd,11375.0,False
68,,2087319-DCA,Business,3/31/21,147-36 94TH AVENUE PARKING CORP.,,14736,94TH AVE,,JAMAICA,NY,11435.0,2127367171,Queens,4.0,14736 94th avenue,11435.0,False
69,,1280518-DCA,Business,3/31/21,QUIK PARK WEST 62ND ST. LLC,,140,W 65TH ST,,NEW YORK,NY,10023.0,2128322066,Manhattan,1.0,140 west 65th street,10023.0,False
70,,0965331-DCA,Business,7/6/18,SP PLUS CORPORATION,,20990,23RD AVE,,BAYSIDE,NY,11360.0,212217621,Queens,4.0,20990 23rd avenue,11360.0,False
71,,2067143-DCA,Business,3/31/21,WELCOME PARKING LLC,,131,E 55TH ST,,NEW YORK,NY,10022.0,646-476-2959,Manhattan,1.0,131 east 55th street,10022.0,False
72,,2034103-DCA,Business,3/31/21,TYOS LLC,,1131,OGDEN AVE,,BRONX,NY,10452.0,2126652160,Bronx,2.0,1131 ogden avenue,10452.0,False
73,,2001881-DCA,Business,6/4/20,"LAUREATE GARAGE, LLC",,2148,BROADWAY,,NEW YORK,NY,10023.0,2127502056,Manhattan,1.0,2148 broadway,10023.0,True
74,,2092125-DCA,Business,3/31/21,KK ENTERPRISE GROUP INC.,,4745,PARK AVE,,BRONX,NY,10458.0,9173277488,Bronx,2.0,4745 park avenue,10458.0,False
75,,2040751-DCA,Business,9/18/19,786 PARKING CORP,,250,E 144TH ST,,BRONX,NY,10451.0,7186180029,Bronx,2.0,250 east 144th street,10451.0,False
76,,0818314-DCA,Business,3/31/19,CUSTOM PARKING LLC,,184,E 64TH ST,,NEW YORK,NY,10065.0,2126869800,Manhattan,1.0,184 east 64th street,10065.0,False
77,,2092453-DCA,Business,3/31/21,5 STARS PARKING INC,,120,UNION AVE,,BROOKLYN,NY,11206.0,9172140583,Brooklyn,3.0,120 union avenue,11206.0,False
78,,2077313-DCA,Business,3/31/21,157-53 PARKING CORP,,157,E 57TH ST,,NEW YORK,NY,10022.0,6464639403,Manhattan,1.0,157 east 57th street,10022.0,False
79,,2046730-DCA,Business,3/31/21,LAZ PARKING NEW YORK / NEW JERSEY LLC,LAZ PARKING NY/NJ LLC,199,WATER ST,,NEW YORK,NY,10038.0,2122652239,Manhattan,1.0,199 water street,10038.0,False
80,,1078653-DCA,Business,3/31/21,1725 PARKING LLC,,1725,YORK AVE,,NEW YORK,NY,10128.0,2126869800,Manhattan,1.0,1725 york avenue,10128.0,False
81,,2070275-DCA,Business,3/31/21,149 KENT AVENUE PARKING CORP,,149,KENT AVE,,BROOKLYN,NY,11249.0,212-736-7171,Brooklyn,3.0,149 kent avenue,11249.0,False
82,,2081236-DCA,Business,6/27/19,LAZ PARKING NEW YORK/NEW JERSEY LLC,"LAZ PARKING NY, LLC",180,RIVERSIDE BLVD,,NEW YORK,NY,10069.0,2122652239,Manhattan,1.0,180 riverside boulevardd,10069.0,False
83,,2073944-DCA,Business,3/8/20,RIVERSIDE CENTER PARKING LLC,,1,W END AVE,,NEW YORK,NY,10023.0,2126869800,Manhattan,1.0,1 west end avenue,10023.0,False
84,,2039875-DCA,Business,3/31/21,A & D 24 Hour Parking Inc,,2160,WEBSTER AVE,,BRONX,NY,10457.0,,Bronx,2.0,2160 webster avenue,10457.0,False
85,,2020432-DCA,Business,3/31/21,PARK ARMORYMANAGEMENT LLC,,171,CLERMONT AVE,,BROOKLYN,NY,11205.0,7182229427,Brooklyn,3.0,171 clermont avenue,11205.0,False
86,,2090586-DCA,Business,3/31/21,A & J PARKING LLC,,1035,ANDERSON AVE,,BRONX,NY,10452.0,914-314-3157,Bronx,2.0,1035 anderson avenue,10452.0,False
87,,2050330-DCA,Business,6/3/20,PARK KWIK LLC,,286,ASHLAND PL,,BROOKLYN,NY,11217.0,2129745840,Brooklyn,3.0,286 ashland place,11217.0,False
88,,2028476-DCA,Business,5/28/20,QUIK PARK 801 GARAGE LLC,,801,AMSTERDAM AVE,,NEW YORK,NY,10025.0,212-222-3289,Manhattan,1.0,801 amsterdam avenue,10025.0,True
89,,1418529-DCA,Business,3/9/20,QUIK PARK WATER STREET LLC,,95,WALL ST,,NEW YORK,NY,10005.0,2128322066,Manhattan,1.0,95 wall street,10005.0,True
90,,2072375-DCA,Business,3/31/21,LAZ PARKING NEW YORK/NEW JERSEY LLC,,528,E 20TH ST,,NEW YORK,NY,10009.0,2122652239,Manhattan,1.0,528 east 20th street,10009.0,True
91,,1385887-DCA,Business,3/3/20,PV PARKING CORP,,3411,STEINWAY ST,,LONG IS CITY,NY,11101.0,718-609-1200,Queens,4.0,3411 streeteinway st,11101.0,False
92,,2078630-DCA,Business,3/31/21,"IMPERIAL PARKING (U.S.), LLC",IMPARK,330,E 75TH ST,,NEW YORK,NY,10021.0,212-937-8660,Manhattan,1.0,330 east 75th street,10021.0,False
93,,2081211-DCA,Business,10/9/19,LAZ PARKING NEW YORK/NEW JERSEY LLC,LAZ PARKING NY LLC,140,RIVERSIDE BLVD,,NEW YORK,NY,10069.0,2122652239,Manhattan,1.0,140 riverside boulevardd,10069.0,False
94,,2053069-DCA,Business,3/31/21,"PROPARK AMERICA NEW YORK, LLC",,920,PARK AVE,,NEW YORK,NY,10028.0,3475060477,Manhattan,1.0,920 park avenue,10028.0,False
95,,1408023-DCA,Business,12/31/19,QUIK PARK 775 GARAGE LLC,,775,COLUMBUS AVE,,NEW YORK,NY,10025.0,2128322066,Manhattan,1.0,775 columbus avenue,10025.0,False
96,,2088815-DCA,Business,3/5/20,SP PLUS CORPORATION,,333,SCHERMERHORN ST,,BROOKLYN,NY,11217.0,2123217621,Brooklyn,3.0,333 schermerhorn street,11217.0,True
97,,2072506-DCA,Business,3/31/21,LAZ PARKING NEW YORK/NEW JERSEY LLC,"LAZ PARKING NY, NJ LLC",426,E 71ST ST,,NEW YORK,NY,10021.0,2122652239,Manhattan,1.0,426 east 71st street,10021.0,False
98,,2057853-DCA,Business,4/8/20,255 SCHERMERHORN STREET PARKING CORP.,,33,BOND ST,,BROOKLYN,NY,11201.0,2127367171,Brooklyn,3.0,33 bond street,11201.0,True
99,,2075368-DCA,Business,4/7/20,ENTERPRISE 57 PARKING LLC,,606,W 57TH ST,,NEW YORK,NY,10019.0,2125643199,Manhattan,1.0,606 west 57th street,10019.0,False
100,,0368822-DCA,Business,3/31/21,OMNI PARKING LLC,,143,W 68TH ST,,NEW YORK,NY,10023.0,2126869800,Manhattan,1.0,143 west 68th street,10023.0,False
101,,1450684-DCA,Business,9/29/19,LAZ PARKING NEW YORK / NEW JERSEY LLC,,247,W 46TH ST,,NEW YORK,NY,10036.0,2122652239,Manhattan,1.0,247 west 46th street,10036.0,False
102,,2093300-DCA,Business,3/31/21,MP LINCOLN SQUARE PARKING LLC,,143,W 68TH ST,,NEW YORK,NY,10023.0,2124903460,Manhattan,1.0,143 west 68th street,10023.0,False
103,,2095107-DCA,Business,3/31/21,VERRAZANO SERVICE INC.,,9111,4TH AVE,,BROOKLYN,NY,11209.0,718-491-6161,Brooklyn,3.0,9111 4th avenue,11209.0,False
104,,2070019-DCA,Business,3/1/20,59-61 WEST 36TH STREET PARKING CORP,,59,W 36TH ST,,NEW YORK,NY,10018.0,212-736-7171,Manhattan,1.0,59 west 36th street,10018.0,True
105,,2064187-DCA,Business,5/14/20,254 WEST 79TH STREET PARKING CORP,,252,W 79TH ST,,NEW YORK,NY,10024.0,212-736-7171,Manhattan,1.0,252 west 79th street,10024.0,False
106,,2074961-DCA,Business,3/31/21,LAZ PARKING NEW YORK/NEW JERSEY LLC,"LAZ PARKING NY,NJ LLC",251,AVENUE C,,NEW YORK,NY,10009.0,2122652239,Manhattan,1.0,251 avenuenue c,10009.0,False
107,,2065561-DCA,Business,5/18/20,PARKING SYSTEMS PLUS INC,,260,BAYCHESTER AVE,,BRONX,NY,10475.0,8009441424,Bronx,2.0,260 baychester avenue,10475.0,False
108,,2093256-DCA,Business,3/31/21,LAZ PARKING NEW YORK/NEW JERSEY LLC,,300,PEARL ST,,NEW YORK,NY,10038.0,2122652239,Manhattan,1.0,300 pearl street,10038.0,False
109,,2088972-DCA,Business,5/27/20,MORRIS AVENUE PARKING LLC,,655,MORRIS AVE,,BRONX,NY,10451.0,6465027200,Bronx,2.0,655 morris avenue,10451.0,False
110,,1425382-DCA,Business,3/30/20,34 NORTH 7TH PARKING CORP.,,34,N 7TH ST,,BROOKLYN,NY,11249.0,2127367171,Brooklyn,3.0,34 north 7th street,11249.0,True
111,,2072503-DCA,Business,3/31/21,LAZ PARKING NEW YORK/NEW JERSEY LLC,"LAZ PARKING NY, NJ LLC",525,E 68TH ST,,NEW YORK,NY,10065.0,2122652239,Manhattan,1.0,525 east 68th street,10065.0,False
112,,2095094-DCA,Business,3/31/21,CHARLES GARAGE MGMT LLC,,140,CHARLES ST,,NEW YORK,NY,10014.0,7187187276,Manhattan,1.0,140 charles street,10014.0,False
113,,2040594-DCA,Business,3/31/21,CHAMPION PARKING NORTH LLC,,2917,QUEENS PLZ N,,LONG ISLAND CITY,NY,11101.0,212-308-5959,Queens,4.0,2917 queens placez n,11101.0,False
114,,2085069-DCA,Business,3/31/21,LAZ PARKING NEW YORK / NEW JERSEY LLC,"LAZ Parking NY,NJ LLC",751,CONCOURSE VLG W,,BRONX,NY,10451.0,2122652239,Bronx,2.0,751 concourse vlg w,10451.0,False
115,,1313397-DCA,Business,5/31/20,PARK KWIK LLC,,20,JAY ST,,BROOKLYN,NY,11201.0,2129745840,Brooklyn,3.0,20 jay street,11201.0,False
116,,2059451-DCA,Business,6/8/20,PARK KWIK LLC,,325,KENT AVE,,BROOKLYN,NY,11249.0,2129745840,Brooklyn,3.0,325 kent avenue,11249.0,False
117,,1181507-DCA,Business,3/31/21,99 PARK AVENUE CORP.,,99,PARK AVE,,NEW YORK,NY,10016.0,2128661000,Manhattan,1.0,99 park avenue,10016.0,True
118,,2023734-DCA,Business,3/31/21,JORIAN PARK LLC,,8213,37TH AVE,,JACKSON HEIGHTS,NY,11372.0,7187794774,Queens,4.0,8213 37th avenue,11372.0,False
119,,2009327-DCA,Business,5/14/20,LAZ PARKING NEW YORK / NEW JERSEY LLC,,3916,PRINCE ST,,FLUSHING,NY,11354.0,2122652239,Queens,4.0,3916 prince street,11354.0,False
120,,2089813-DCA,Business,10/9/19,XTELL PARKING LLC,,17802,HILLSIDE AVE,,JAMAICA,NY,11432.0,917-592-4762,Queens,4.0,17802 hillside avenue,11432.0,False
121,,2067122-DCA,Business,4/1/20,"BATTERY 17 PARKING, LLC",,17,BATTERY PL,,NEW YORK,NY,10004.0,646-773-4400,Manhattan,1.0,17 battery place,10004.0,True
122,,1451674-DCA,Business,12/8/13,"PROPARK AMERICA NEW YORK, LLC",,11215,NORTHERN BLVD,,CORONA,NY,11368.0,3475060477,Queens,4.0,11215 northern boulevardd,11368.0,False
123,,2024293-DCA,Business,5/27/17,"PROPARK AMERICA NEW YORK, LLC",,9015,QUEENS BLVD,,ELMHURST,NY,11373.0,3475060477,Queens,4.0,9015 queens boulevardd,11373.0,False
124,,2067080-DCA,Business,1/8/20,LAZ PARKING NEW YORK / NEW JERSEY LLC,,130,FURMAN ST,,BROOKLYN,NY,11201.0,2122652239,Brooklyn,3.0,130 furman street,11201.0,False
125,,2072367-DCA,Business,3/31/21,LAZ PARKING NEW YORK/NEW JERSEY LLC,,279,AVENUE C,,NEW YORK,NY,10009.0,2122652239,Manhattan,1.0,279 avenuenue c,10009.0,False
126,,2029297-DCA,Business,4/30/20,SYLVAN ASTORIA GARAGE LLC,,2325,31ST ST,,ASTORIA,NY,11105.0,7185759440,Queens,4.0,2325 31st street,11105.0,False
127,,1338636-DCA,Business,3/10/20,HARL PARKING CORP.,,1481,5TH AVE,,NEW YORK,NY,10035.0,2129299404,Manhattan,1.0,1481 5th avenue,10035.0,False
128,,2045510-DCA,Business,3/31/21,NORTH 12 PARKING LLC,,55,WYTHE AVE,,BROOKLYN,NY,11249.0,9143209630,Brooklyn,3.0,55 wythe avenue,11249.0,True
129,,2083642-DCA,Business,4/12/20,390 MADISON PARKING CORP.,,390,MADISON AVE,,NEW YORK,NY,10017.0,2127367171,Manhattan,1.0,390 madison avenue,10017.0,True
130,,2055878-DCA,Business,3/31/21,"YORK PARKING, LLC",,1418,YORK AVE,,NEW YORK,NY,10021.0,646-773-4400,Manhattan,1.0,1418 york avenue,10021.0,False
131,,2051269-DCA,Business,5/28/20,LAZ PARKING NEW YORK / NEW JERSEY LLC,,1113,YORK AVE,,NEW YORK,NY,10065.0,2122652239,Manhattan,1.0,1113 york avenue,10065.0,False
132,,2044503-DCA,Business,3/11/20,IMPARK QB LLC,,9277,QUEENS BLVD,,REGO PARK,NY,11374.0,212-937-8660,Queens,4.0,9277 queens boulevardd,11374.0,False
133,,1360570-DCA,Business,4/12/20,PARK 115TH LLC,,2131,FREDERICK DOUGLASS BLVD,,NEW YORK,NY,10026.0,2129799815,Manhattan,1.0,2131 frederick douglass boulevardd,10026.0,False
134,,2038910-DCA,Business,1/13/20,FULTON LAWRENCE PARKING LLC,,111,LAWRENCE ST,,BROOKLYN,NY,11201.0,2126869800,Brooklyn,3.0,111 lawrence street,11201.0,True
135,,2030868-DCA,Business,4/8/20,455 CPW PARKING CORP,,455,CENTRAL PARK W,,NEW YORK,NY,10025.0,2127367171,Manhattan,1.0,455 central park w,10025.0,False
